Inputs,Sorted Dynamic Array,Sorted Linked List,Ratio
34800,5.75527,9.20788,1.59991
34900,5.82064,9.11981,1.56681
35000,5.89843,9.42615,1.59808
35100,5.94512,9.30412,1.565
35200,5.97322,9.59363,1.60611
35300,6.00807,9.41089,1.56637
35400,6.10375,9.77903,1.60213
35500,6.08042,9.467,1.55697
35600,6.04572,9.5974,1.58747
35700,6.07017,9.47242,1.56049
